case_id,source,case_number,title,tax_category,decision_date,decision_type,agency,summary,difficulty_score,source_url
law_expc_11-0054,law_expc,11-0054,민원인 - 보세구역 내 수출품 제조업자에 대한 부품 공급의 부가가치세 과세대상 여부 등(「부가가치세법」 제1조제1항제1호 등 관련),부가가치세,2011-03-10,회신,법제처,"가. 질의 가에 대하여

  부품가공업체인 국내사업자가 외국으로부터 매입한 원자재를 미통관 상태로 세관장의 승인을 받아 보세구역 내 보세공장에서 수출품의 부품으로 가공하여 보세구역 내 중계매매인인 다른 국내사업자를 통해 보세구역 내 수출품 제조업자에게 수출품의 부품으로 공급한 후 그 수출품이 국외로 수출된 경우, 위 가공된 수출품의 부품 공급이 영세율을 적용할 수 있는 대상이 될 수 있는지 여부는 별론으로 하고, 「부가가치세법」 제1조제1항제1호에 따른 재화의 공급에 해당하여 부가가치세 과세대상이라고 할 것입니다.

  나. 질의 나에 대하여

  부품가공업체인 국내사업자가 외국으로부터 매입한 원자재를 미통관 상태로 세관장의 승인을 받아 보세구역 내 보세공장에서 수출품의 부품으로 가공하여 보세구역 내 중계매매인인 다른 국내사업자를 통해 보세구역 내 수출품 제조업자에게 수출품의 부품으로 공급한 후 그 수출품이 국외로 수출된 경우, 위 중계매매인으로부터 추가적인 구매확인서를 교부받지 않",2.811,https://www.law.go.kr/expcInfoR.do?expcSeq=311455
law_expc_19-0304,law_expc,19-0304,산림청 - 산림복지전문업 중 숲해설업 및 유아숲교육업이 부가가치세 면세 대상인 교육 용역에 해당하는지 여부(「부가가치세법」 제26조제1항 등 관련),부가가치세,2019-11-25,회신,법제처,이 사안의 경우 부가가치세가 면제되는 교육 용역에 해당하지 않습니다.,2.803,https://www.law.go.kr/expcInfoR.do?expcSeq=327319
law_expc_17-0419,law_expc,17-0419,민원인 - 냉동 사탕수수가「부가가치세법」 제26조 및 제27조에 따라 부가가치세가 면제되는 미가공식료품에 해당하는지 여부(「부가가치세법 시행규칙」별표 1 등 관련),부가가치세,2017-09-11,회신,법제처,냉동 사탕수수를 수입하는 경우 냉동 사탕수수는 「부가가치세법」 제26조 및 제27조에 따라 부가가치세가 면제되는 미가공식료품에 해당합니다.,2.794,https://www.law.go.kr/expcInfoR.do?expcSeq=329757
law_expc_20-0577,law_expc,20-0577,민원인 - 1세대 1주택 양도소득세 비과세 요건 관련 “계약금을 지급한 사실”의 의미(「소득세법 시행령」 제154조제1항제5호 등 관련),소득세,2020-12-30,회신,법제처,이 사안에서 “계약금을 지급한 사실”이 확인되는 경우에는 계약금의 전부를 지급한 경우만 해당합니다.,2.728,https://www.law.go.kr/expcInfoR.do?expcSeq=330285
law_expc_18-0828,law_expc,18-0828,기획재정부 - 명의개서해태 증여의제 규정의 적용 범위(구 「상속세 및 증여세법」 제41조의2제1항ㆍ제2항 및 부칙 제9조 등 관련),상속세,2019-03-27,회신,법제처,이 사안의 경우 타인 명의로 명의개서한 주식은 포함되지 않습니다.,2.674,https://www.law.go.kr/expcInfoR.do?expcSeq=326393
law_expc_15-0523,law_expc,15-0523,민원인 - 간이과세자인 공인중개사가 법정 중개보수와 별도로  부가가치세를 받을 수 있는지(「공인중개사법」 제33조제3호 등 관련),부가가치세,2016-01-18,회신,법제처,"「부가가치세법」 제61조제1항에 따른 간이과세자에 해당하는 개업공인중개사가 「공인중개사법」 제32조제4항에 따라 정해진 주택의 중개에 대한 보수와는 별도로 부가가치세를 수령하여 그 둘을 합산한 금액이 법정 중개보수를 초과하더라도, 그 부가가치세를 제외한 금액이 법정 중개보수를 초과하지 않는 경우에는 「공인중개사법」 제33조제3호에 위반되지 않습니다.",2.641,https://www.law.go.kr/expcInfoR.do?expcSeq=315324
law_expc_12-0368,law_expc,12-0368,기획재정부 - 공익사업용 토지 등에 대한 양도소득세 감면의 적용 범위(「조세특례제한법」 제77조 등 관련),소득세,2012-07-12,회신,법제처,「자연공원법」 제76조에 따라 공원관리청이 국립공원을 보존ㆍ관리하기 위하여 국립공원 내에 있는 토지를 같은 법 제19조에 따른 공원사업 시행계획의 결정ㆍ고시 없이 그 소유자와 협의하여 매수한 경우 해당 소유자(매도인)는 「조세특례제한법」 제77조에 따른 공익사업용 토지 등에 대한 양도소득세 감면을 받을 수 없다고 할 것입니다.,2.63,https://www.law.go.kr/expcInfoR.do?expcSeq=313499
law_expc_15-0595,law_expc,15-0595,민원인 - 분양권이 구 법인세법 제3조제3항제5호에 따른 고정자산에 해당되는지 여부( 구 「법인세법」 제3조제3항제5호 등 관련),법인세,2016-02-29,회신,법제처,개정 전 「법인세법」(2009. 12. 31. 법률 제9898호로 일부개정되어 2010. 1. 1. 시행되기 전의 것) 제3조제3항제5호에 따른 “고정자산”에는 “부동산을 취득할 수 있는 권리”가 포함되므로 “부동산을 취득할 수 있는 권리의 양도로 생기는 비영리국내법인의 소득”에 법인세를 부과할 수 있습니다.,2.585,https://www.law.go.kr/expcInfoR.do?expcSeq=327601
law_expc_18-0024,law_expc,18-0024,서울특별시교육청 - 위탁급식의 방법으로 교직원에 대하여 음식용역을 공급하는 경우에 부가가치세를 면제하는지 여부(「조세특례제한법」 제106조 관련),부가가치세,2018-02-21,회신,법제처,"「초ㆍ중등교육법」 제2조제1호부터 제4호까지의 어느 하나에 해당하는 학교의 장으로부터 학교급식공급 위탁을 받은 학교급식공급업자가 위탁급식의 방법으로 해당 학교에 음식용역을 제공하여 교직원에 대한 급식이 이루어지는 경우, 「부가가치세법」 제12조제2항 전단에 따라 대가를 받지 않고 용역을 공급하는 것이 아닌 한, 「조세특례제한법」 제106조제1항제2호 전단에 따라 부가가치세가 면제되지는 않습니다.",2.541,https://www.law.go.kr/expcInfoR.do?expcSeq=329149
law_expc_09-0133,law_expc,09-0133,"부산광역시, 기획재정부 - 석유류에 대한 부가가치세를 면제 또는 감면받을 수 있는 여객선박의 범위(「조세특례제한법」 제106조의2제1항제2호 관련)",부가가치세,2009-05-22,회신,법제처,"가. 질의 가에 대하여

  「해운법」 제3조에 따른 내항 부정기 여객운송사업에 사용되는 선박은 「조세특례제한법」 제106조의2제1항제2호에 따른 “연안을 운항하는 여객선박”에 해당합니다.

 나. 질의 나에 대하여

  「해운법」 제3조에 따른 순항 여객운송사업에 사용되는 선박은 「조세특례제한법」 제106조의2제1항제2호에 따른 “연안을 운항하는 여객선박”에 해당하지 않습니다.",2.54,https://www.law.go.kr/expcInfoR.do?expcSeq=312726
law_expc_15-0360,law_expc,15-0360,민원인 - 외국국적동포의 장기주택저당차입금 이자상환액 공제 대상자 여부(「소득세법」 제52조제5항 등 관련),소득세,2015-12-07,회신,법제처,「재외동포의 출입국과 법적 지위에 관한 법률」 제7조에 따른 국내거소신고증을 지닌 외국국적동포는 「소득세법」 제52조제5항에서 규정하고 있는 특별소득공제 대상이 될 수 없습니다.,2.515,https://www.law.go.kr/expcInfoR.do?expcSeq=314956
law_expc_15-0228,law_expc,15-0228,서울특별시 강남구 - 지방자치단체의 도로점용허가가 부가가치세 면제 제외 대상인지(「부가가치세법 시행령」 제46조제3호 관련),부가가치세,2015-07-22,회신,법제처,도로관리청인 지방자치단체의 장이 도로점용허가에 따라 도로점용료를 징수하는 것은 부가가치세 면제 제외 대상에 해당됩니다.,2.514,https://www.law.go.kr/expcInfoR.do?expcSeq=315250
law_expc_11-0057,law_expc,11-0057,전라남도 영암군 - 사업장이 둘 이상의 시·군에 있는 국내법인이 국내에 본점 및 사업장이 없는 외국법인으로부터 특별징수한 법인세분 지방소득세의 납세지(구 「지방세법」 제176조의11제1항제2호 등 관련),소득세,2011-04-21,회신,법제처,사업장이 둘 이상의 시·군에 있는 국내법인이 국내에 본점 및 사업장이 없는 외국법인으로부터 특별징수한 법인세분 지방소득세의 납세지 관할 시·군은 특별징수의무자인 국내법인의 각 사업장 소재지를 관할하는 각각의 시·군이라고 할 것입니다.,2.507,https://www.law.go.kr/expcInfoR.do?expcSeq=322563
law_expc_15-0548,law_expc,15-0548,기획재정부 - 「상속세 및 증여세법 시행규칙」 제17조의3 각 호의 어느 하나에 해당하는 경우에도 납세자는 1주당 최근 3년간의 순손익액의 가중평균액으로 과세표준을 신고할 수 있는지(구「상속세 및 증여세법 시행령」 제56조 관련),상속세,2015-09-30,회신,법제처,"구 「상속세 및 증여세법 시행규칙」(2014. 3. 14. 기획재정부령 제412호로 일부개정되기 전의 것) 제17조의3제1항 각 호의 사유에 해당하는 경우에도, 납세자는 구 「상속세 및 증여세법 시행령」(2014. 2. 21. 대통령령 제25195호로 일부개정되어 시행되기 전의 것) 제56조제1항제1호에 따라 “1주당 최근 3년간의 순손익액의 가중평균액”으로 과세표준을 신고할 수 있습니다.",2.501,https://www.law.go.kr/expcInfoR.do?expcSeq=315370
law_prec_2023두41314,law_prec,2023두41314,부가가치세부과처분등취소청구[실제 거래의 주체가 아닌 제3자 명의로 세금계산서를 발급·수취한 경우 사실과 다른 세금계산서에 해당하는지 여부가 문제된 사건],부가가치세,2025.05.29,판결,대법원,"[1] 전 단계 세액공제법을 채택하고 있는 부가가치세법 아래에서 세금계산서 제도는 당사자 간의 거래를 노출시킴으로써 부가가치세뿐 아니라 소득세와 법인세의 세원포착을 용이하게 하는 납세자 간 상호검증의 기능을 하므로, 사업자등록과 함께 부가가치세 제도를 효과적으로 시행하기 위한 필수적인 요소이다. 이러한 취지를 반영하여 부가가치세법령에서는 세금계산서의 필수적 기재사항을 정하는 한편, 이러한 필수적 기재사항이 세금계산서에서 누락되거나 사실과 다르게 기재된 경우의 매입세액은 매출세액에서 공제할 수 없도록 규정하고 있다. 구체적으로 구 부가가치세법(2017. 12. 19. 법률 제15223호로 개정되기 전의 것, 이하 같다) 제32조 제1항은 세금계산서의 기재사항으로 ‘공급하는 사업자의 등록번호와 성명 또는 명칭(제1호)’, ‘공급받는 자의 등록번호(제2호)’를 들고 있고, 제39조 제1항 제2호는 발급받은 세금계산서에 제32조 제1항 제1호부터 제4호까지의 규정에 따른 필요적 기재사항의 ",2.5,https://www.law.go.kr/precInfoR.do?precSeq=606533
law_prec_2021두51881,law_prec,2021두51881,종합소득세부과처분취소등[홍콩에 설립된 외국법인의 주식 등이 정관에 의하여 양도가 제한된 경우로서 구 국세기본법 제40조 제1항 제2호에서 정한 법인의 제2차 납세의무 요건을 충족하는지 여부가 문제된 사건],소득세,2024.09.12,판결,대법원,"[1] 구 국세기본법(2014. 12. 23. 법률 제12848호로 개정되기 전의 것, 이하 같다) 제40조 제1항은 ""국세의 납부기간 만료일 현재 법인의 무한책임사원 또는 과점주주(이하 ‘출자자’라 한다)의 재산으로 그 출자자가 납부할 국세·가산금과 체납처분비에 충당하여도 부족한 경우에는 그 법인은 다음 각호의 어느 하나에 해당하는 경우에만 그 부족한 금액에 대하여 제2차 납세의무를 진다.""라고 규정하면서, 제2호에서 ""법률 또는 그 법인의 정관에 의하여 출자자의 소유주식 또는 출자지분(이하 ‘주식 등’이라 한다)의 양도가 제한된 경우""를 규정하고 있다. 구 국세기본법 제40조 제1항 제2호에서 법인의 제2차 납세의무 성립요건 중 하나로 정한 ‘법인의 정관에 의하여 출자자의 주식 등의 양도가 제한된 경우’에 해당하는지는, 구 국세기본법에서 ‘주식 등 양도의 제한’에 관하여 특별히 정하고 있지 않은 이상, 정관의 해석 및 효력 문제로서 해당 정관 규정의 내용과 객관적 의미를 합리적으",2.5,https://www.law.go.kr/precInfoR.do?precSeq=241589
law_prec_2023두38295,law_prec,2023두38295,"법인세부과처분취소[특정외국법인의 유보소득 배당간주 적용에 관한 구 국제조세조정에 관한 법률 시행령 제35조 제2항 제2호의 특수관계 요건과 관련하여, 특정외국법인과 동일한 국가에 소재한 외국법인 간에 같은 법 시행령 제2조 제1항 제3호의 특수관계가 성립하는지 문제된 사건]",법인세,2026.01.08,판결,대법원,"[1] 구 국제조세조정에 관한 법률(2019. 12. 31. 법률 제16843호로 개정되기 전의 것, 이하 ‘구 국제조세조정법’이라 한다) 제17조 제1항은, 법인의 부담세액이 실제발생소득의 100분의 15 이하인 국가 또는 지역에 본점 또는 주사무소를 둔 외국법인에 대하여 내국인이 출자한 경우에는 그 외국법인 중 내국인과 특수관계가 있는 법인(이하 ‘특정외국법인’이라 한다)의 각 사업연도 말 현재 배당 가능한 유보소득 중 내국인에게 귀속될 금액은 내국인이 배당받은 것으로 본다고 규정하고, 같은 조 제4항은 제1항을 적용할 때 실제발생소득의 범위 등 필요한 사항은 대통령령으로 정하도록 규정하고 있다. 그리고 구 국제조세조정에 관한 법률 시행령(2017. 2. 7. 대통령령 제27837호로 개정되기 전의 것, 이하 ‘구 국제조세조정법 시행령’이라 한다) 제29조 제1항은, 구 국제조세조정법 제17조 제1항에 따른 법인의 실제발생소득의 범위는 해당 법인의 본점 또는 주사무소가 있는 국가",2.5,https://www.law.go.kr/precInfoR.do?precSeq=615959
law_prec_2024두54065,law_prec,2024두54065,법인세부과처분취소[구 국제조세조정에 관한 법률에 따른 정상가격 과세조정 시 거래순이익률방법에 의한 정상가격 산출의 합리성이 문제된 사건],법인세,2025.10.16,판결,대법원,"[1] 거래순이익률방법은 매출원가 및 판매비와 일반관리비 등 영업비용이 반영된 순이익률지표 또는 영업이익률에 기초하여 정상가격을 산출하는 것이므로, 다른 정상가격 산출방법 중 거래가격에 기초하는 ‘비교가능 제3자 가격방법’이나 매출총이익률에 기초하는 ‘재판매가격방법’ 또는 ‘원가가산방법’과 달리 상품의 차이나 거래단계 등 사업활동의 기능상 차이 등에 의한 영향이 적다. 다만 국외특수관계자거래와 비교대상거래 사이에 상품이나 거래단계의 차이가 현저하여 양자가 본질적으로 다르고, 그로 인하여 거래에 수반되는 위험이나 사용되는 자산 등 다른 비교 가능성 분석요소의 차이를 야기하며, 나아가 그러한 차이가 영업이익률에 중대한 영향을 미친다면, 그 비교대상거래는 합리적인 차이 조정이 이루어지지 아니하는 한 비교 가능성이 높다고 할 수 없어 당해 거래의 조건과 상황이 유사한 거래라고 할 수 없으므로, 그러한 비교대상거래를 기초로 거래순이익률방법에 따라 산출한 가격은 적법한 정상가격이라고 할 수 없",2.5,https://www.law.go.kr/precInfoR.do?precSeq=612845
law_prec_2020두46073,law_prec,2020두46073,조세부과처분무효확인청구[과세처분에 대한 무효확인소송에서 처분사유의 변경이 있는 경우 증명책임 귀속이 문제된 사건],기타,2023.06.29,판결,대법원,"[1] 민사소송법이 준용되는 행정소송에서 증명책임은 원칙적으로 민사소송의 일반원칙에 따라 당사자 간에 분배되고, 항고소송은 그 특성에 따라 해당 처분의 적법성을 주장하는 피고에게 적법사유에 대한 증명책임이 있으나, 예외적으로 행정처분의 당연무효를 주장하여 무효 확인을 구하는 행정소송에서는 원고에게 행정처분이 무효인 사유를 주장·증명할 책임이 있고, 이는 무효 확인을 구하는 뜻에서 행정처분의 취소를 구하는 소송에 있어서도 마찬가지이다. 한편 행정처분의 무효 확인을 구하는 소에는 특단의 사정이 없는 한 취소를 구하는 취지도 포함되어 있다고 보아야 하므로, 해당 행정처분의 취소를 구할 수 있는 경우라면 무효사유가 증명되지 아니한 때에 법원으로서는 취소사유에 해당하는 위법이 있는지 여부까지 심리하여야 한다. 나아가 과세처분에 대한 취소소송과 무효확인소송은 모두 소송물이 객관적인 조세채무의 존부확인으로 동일하다. 결국 과세처분의 위법을 다투는 조세행정소송의 형식이 취소소송인지 아니면 무효확인",2.5,https://www.law.go.kr/precInfoR.do?precSeq=237035
law_prec_2025두33121,law_prec,2025두33121,2차납세의무자지정및납세고지처분취소[체납법인의 법인세 납세의무 성립 당시 회생절차 진행 중에 있던 과점주주에 대하여 제2차 납세의무자 지정 및 체납법인세 납부 고지를 한 사건],법인세,2025.09.25,판결,대법원,"[1] 구 국세기본법(2020. 12. 22. 법률 제17650호로 개정되기 전의 것, 이하 같다) 제39조에 규정된 제2차 납세의무는 조세징수의 확보를 위하여 원래의 납세의무자인 법인의 재산에 대하여 체납처분을 하여도 징수하여야 할 조세에 부족이 있다고 인정되는 경우에 사법질서를 어지럽히는 것을 최소화하면서 실질적으로 법인의 운영을 지배할 수 있는 출자자에 한하여 법인으로부터 징수할 수 없는 액을 한도로 하여 보충적으로 납세의무를 부담하게 하는 제도이다. 나아가 구 국세기본법 제39조 제2호의 취지는, 회사 경영을 사실상 지배하는 실질적인 운영자인 과점주주는 회사의 수익은 자신에게 귀속시키고 그 손실은 회사에 떠넘김으로써 회사의 법인격을 악용하여 이를 형해화시킬 우려가 크므로 이를 방지하여 실질적인 조세평등을 이루려는 데 있다. 그러나 과점주주의 제2차 납세의무는 사법상 주주 유한책임의 원칙에 대한 중대한 예외로서 본래의 납세의무자가 아닌 제3자에게 보충적인 납세의무를 부과하는 것",2.5,https://www.law.go.kr/precInfoR.do?precSeq=609567
law_prec_2024다295876,law_prec,2024다295876,부당이득금반환청구의소[원천징수세액 상당에 대한 환급청구권이 원천납세의무자와 원천징수의무자 중 누구에게 귀속되는지가 문제된 사건],원천세,2025.04.24,판결,대법원,"[1] 국세환급금의 충당은 납세의무자가 갖는 환급청구권의 존부나 범위 또는 소멸에 구체적이고 직접적인 영향을 미치는 처분이라기보다는 국가의 환급금 채무와 조세채권이 대등액에서 소멸되는 점에서 민법상 상계와 비슷하고, 소멸대상인 조세채권이 존재하지 아니하거나 당연무효 또는 취소되는 경우에는 그 충당의 효력이 없는 것으로서 이러한 사유가 있는 경우에 납세의무자로서는 충당의 효력이 없음을 주장하여 언제든지 민사소송으로 이미 결정된 국세환급금의 반환을 청구할 수 있다. 이와 같이 국세환급금 충당의 효력이 없는 경우 그 범위에서 되살아나는 권리는 충당의 대상이 되었던 조세의 환급청구권이 아니라 당초 확정되었다가 충당된 조세의 환급청구권이다. 나아가 이러한 법리는 원천징수의무자 명의로 납부된 세액에 관한 환급금이 다른 조세채권에 충당 처리되었다가 해당 조세채권이 마찬가지로 존재하지 않거나 당연무효 또는 취소되는 경우에도 동일하게 적용된다. [2] 원천징수 세제에서 원천징수의무자가 원천납세의무자",2.5,https://www.law.go.kr/precInfoR.do?precSeq=605937
